name,ticker,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
ADVANCED ACCELERATOR APPLICATIONS SA,AAAP,1611787,00790T100,NASDAQ,True,ADR Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,EUR,France,cf1185a716b218ee7db7d812695108eb
ATA CREATIVITY GLOBAL,AACG,1420529,00211V106,NASDAQ,False,ADR Common Stock,Consumer Defensive,Education & Training Services,8200,Services,Services-Educational Services,,Personal Services,CNY,China,c4b8fd69102290f89b405c2014d6b44d
AUSTRALIA ACQUISITION CORP,AACPF,1499593,G06368123 G06368107,NASDAQ,True,ADR Common Stock,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,Australia,04d6f2d514edf89f239d4492c0197e69
ASCENTAGE PHARMA GROUP INTERNATIONAL,AAPG,2023311,04390B105,NASDAQ,False,ADR Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,CNY,China,d7976b5e2f2eff3ae910ee23342a5d8f
ABCAM PLC,ABCM,1492074,000380204 000380105,NASDAQ,True,ADR Common Stock,Healthcare,Biotechnology,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,GBP,United Kingdom,41154dd74f4ed64e1ffcf7554d13aff1
ABENGOA SA,ABGBY,1161785,00289R201,NASDAQ,True,ADR Common Stock,Industrials,Engineering & Construction,8711,Services,Services-Engineering Services,,Business Services,EUR,Spain,65d23d18b3858b6fb7cca2bb621ec7dc
ABILITY INC,ABILF,1652866,G8789K108 G8789K124,NASDAQ,True,ADR Common Stock Primary Class,Technology,Communication Equipment,3669,Manufacturing,Communications Equipment Nec,,Electronic Equipment,USD,Israel,3d0cc377436f5325b0191dd8751d07d4
ABLE VIEW GLOBAL INC,ABLV,1957489,G4233U107 G1149B108,NASDAQ,False,ADR Common Stock Primary Class,Communication Services,Advertising Agencies,5960,Retail Trade,Retail-Nonstore Retailers,,Retail,USD,China,ec98e5ae5d1e467b6f2bddd2071f9cd1
ABLYNX NV,ABLX,1617582,00372Y105,NASDAQ,True,ADR Common Stock,Healthcare,Biotechnology,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,EUR,Belgium,a243b3df5663e34bee69654b763c2f28
ABITS GROUP INC,ABTS,1864055,G6S34K105 624697306 624697207 G6S34K113,NASDAQ,False,ADR Common Stock,Communication Services,Advertising Agencies,7370,Services,Services-Computer Programming Data Processing Etc.,,Business Services,USD,New York; U.S.A,417346af50eba0b62d133eb8143477b5
ABOVE FOOD INGREDIENTS INC,ABVE,1979484,09175K105 00373V100,NASDAQ,False,ADR Common Stock Primary Class,Consumer Defensive,Packaged Foods,2000,Manufacturing,Food And Kindred Products,,Food Products,USD,Alberta; Canada,81fe25cd0a6f5814b1fd1f0131e3af40
ABIVAX SA,ABVX,1956827,00370M103,NASDAQ,False,ADR Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,EUR,France,c2ef477ca1aae443a3caf04dc6ab5874
ACHILLES THERAPEUTICS PLC,ACHL,1830749,00449L102,NASDAQ,True,ADR Common Stock,Healthcare,Biotechnology,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,USD,United Kingdom,83253d4d7672d253ff0669bd33c6fa2a
AC IMMUNE SA,ACIU,1651625,H00263105,NASDAQ,False,ADR Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,CHF,Switzerland,49663b5d7969ab5aac2622819eddba60
ACLN LTD,ACLNF,1021264,M01764105,NASDAQ,True,ADR Common Stock,Industrials,Integrated Freight & Logistics,4731,Transportation Communications Electric Gas And Sanitary Service,Arrangement Of Transportation Of Freight & Cargo,,Transportation,USD,Belgium,ddda857e3d0ee1d3f8f26197930edf84
ACS - TECH 80 LTD,ACSEF,1038144,M01773106 M01770102,NASDAQ,True,ADR Common Stock,Industrials,Electrical Equipment & Parts,3670,Manufacturing,Electronic Components & Accessories,,Electronic Equipment,USD,Israel,b758f82e276331cbec0e0a20191c0e43
ACTIVCARD SA,ACTI1,1107721,00505N109,NASDAQ,True,ADR Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,USD,France,fbcb4b175eec86c0c71a8491a06f6d1b
ACTIONS SEMICONDUCTOR CO LTD,ACTS,1342068,00507E107,NASDAQ,True,ADR Common Stock,Technology,Semiconductors,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,China,7aa3542e28198313c9e8aa50c01c089c
ADAGENE INC,ADAG,1818838,005329107,NASDAQ,False,ADR Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,China,45b60952f1144dfc52f9dae9a6306202
COLOR STAR TECHNOLOGY CO LTD,ADD,1747661,G2287A100 G2287A209 169365202 G2287A126 G21225100 169365103 G4645B101,NASDAQ,False,ADR Common Stock,Communication Services,Entertainment,1700,Construction,Construction - Special Trade Contractors,,Construction,USD,China,a66fa36a21a663a00cf5477d711dcecd
ADS-TEC ENERGY PUBLIC LTD CO,ADSE,1879248,G3194F109 G0085J117,NASDAQ,False,ADR Common Stock Primary Class,Industrials,Electrical Equipment & Parts,3790,Manufacturing,Miscellaneous Transportation Equipment,,Automobiles and Trucks,EUR,Ireland,d468693096c1e209ead47fcdc28a22e1
ADDEX THERAPEUTICS LTD,ADXN,1574232,00654J107 00654J206,NASDAQ,False,ADR Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,CHF,Switzerland,d9d06f6642cf871b0a1204ad077d5708
